title	abstract	url	authors
Conditional Synthetic Data Generation for Robust Machine Learning Applications with Limited Pandemic Data		https://ojs.aaai.org/index.php/AAAI/article/view/21435	Hari Prasanna Das, Ryan Tran, Japjot Singh, Xiangyu Yue, Geoffrey Tison, Alberto Sangiovanni-Vincentelli, Costas J. Spanos
Knowledge Sharing via Domain Adaptation in Customs Fraud Detection		https://ojs.aaai.org/index.php/AAAI/article/view/21465	Sungwon Park, Sundong Kim, Meeyoung Cha
Learning Economic Indicators by Aggregating Multi-Level Geospatial Information		https://ojs.aaai.org/index.php/AAAI/article/view/21464	Sungwon Park, Sungwon Han, Donghyun Ahn, Jaeyeon Kim, Jeasurk Yang, Susang Lee, Seunghoon Hong, Jihee Kim, Sangyoon Park, Hyunjoo Yang, Meeyoung Cha
DevianceNet: Learning to Predict Deviance from a Large-Scale Geo-Tagged Dataset		https://ojs.aaai.org/index.php/AAAI/article/view/21463	Jin-Hwi Park, Young-Jae Park, Junoh Lee, Hae-Gon Jeon
IS-Count: Large-Scale Object Counting from Satellite Images with Covariate-Based Importance Sampling		https://ojs.aaai.org/index.php/AAAI/article/view/21462	Chenlin Meng, Enci Liu, Willie Neiswanger, Jiaming Song, Marshall Burke, David Lobell, Stefano Ermon
Gender and Racial Stereotype Detection in Legal Opinion Word Embeddings		https://ojs.aaai.org/index.php/AAAI/article/view/21461	Sean Matthews, John Hudzina, Dawn Sepehr
EasySED: Trusted Sound Event Detection with Self-Distillation		https://ojs.aaai.org/index.php/AAAI/article/view/21739	Qingsong Zhou, Kele Xu, Ming Feng
Multilingual Code Snippets Training for Program Translation		https://ojs.aaai.org/index.php/AAAI/article/view/21434	Ming Zhu, Karthik Suresh, Chandan K Reddy
Locality Matters: A Scalable Value Decomposition Approach for Cooperative Multi-Agent Reinforcement Learning		https://ojs.aaai.org/index.php/AAAI/article/view/20915	Roy Zohar, Shie Mannor, Guy Tennenholtz
Verification of Neural-Network Control Systems by Integrating Taylor Models and Zonotopes		https://ojs.aaai.org/index.php/AAAI/article/view/20790	Christian Schilling, Marcelo Forets, Sebastián Guadalupe
VACA: Designing Variational Graph Autoencoders for Causal Queries		https://ojs.aaai.org/index.php/AAAI/article/view/20789	Pablo Sánchez-Martin, Miriam Rateike, Isabel Valera
Characterizing the Program Expressive Power of Existential Rule Languages		https://ojs.aaai.org/index.php/AAAI/article/view/20540	Heng Zhang, Guifei Jiang
Fully Adaptive Framework: Neural Computerized Adaptive Testing for Online Education		https://ojs.aaai.org/index.php/AAAI/article/view/20399	Yan Zhuang, Qi Liu, Zhenya Huang, Zhi Li, Shuanghong Shen, Haiping Ma
Making Adversarial Examples More Transferable and Indistinguishable		https://ojs.aaai.org/index.php/AAAI/article/view/20279	Junhua Zou, Yexin Duan, Boyu Li, Wu Zhang, Yu Pan, Zhisong Pan
Self-Supervised Representation Learning Framework for Remote Physiological Measurement Using Spatiotemporal Augmentation Loss		https://ojs.aaai.org/index.php/AAAI/article/view/20143	Hao Wang, Euijoon Ahn, Jinman Kim
ACDNet: Adaptively Combined Dilated Convolution for Monocular Panorama Depth Estimation		https://ojs.aaai.org/index.php/AAAI/article/view/20278	Chuanqing Zhuang, Zhengda Lu, Yiqun Wang, Jun Xiao, Ying Wang
Joint 3D Object Detection and Tracking Using Spatio-Temporal Representation of Camera Image and LiDAR Point Clouds		https://ojs.aaai.org/index.php/AAAI/article/view/20007	Junho Koh, Jaekyum Kim, Jin Hyeok Yoo, Yecheol Kim, Dongsuk Kum, Jun Won Choi
