title	abstract	url	authors
'Colorblind Game' Can Enhances Awareness of Color Blindness	This study investigates whether awareness of color blindness can be enhanced through . We conducted two user studies—one with undergraduates and one with working adults—using 'colorblind' color schemes in a digital game to explore whether such an experience enhances their assessment of their own knowledge about color blindness and awareness of its associated disadvantages in society, workplaces, and private life. The results with undergraduates showed increases in general, but not much in workplace disadvantages. In contrast, the results with working adults showed a significant improvement in the assessment of knowledge but not in other aspects. Thus, a virtual colorblind gaming experience can enhance awareness of color blindness, yet the interpretation of the experience may vary significantly depending on the players' backgrounds.	https://dl.acm.org/doi/abs/10.1145/3681756.3697945	Taiju Kimura, Hiroki Nishino
3D Human Pose Estimation Using Ultra-low Resolution Thermal Images	Can we estimate 3D human pose from ultra-low resolution thermal images (e.g., 8 × 8 pixels)? This study explores this possibility. Thermal images capture radiation intensity, minimizing personal information exposure, and are commonly used in devices like air conditioners. We propose a framework that uses 8 × 8 thermal images for 3D human pose estimation, enhancing privacy and efficiency. To overcome challenges from subject and ambient temperature variations, we employ adversarial learning with discriminators for subject and temperature, ensuring robust and invariant feature extraction.	https://dl.acm.org/doi/abs/10.1145/3681756.3697916	Tatsuki Arai, Mariko Isogawa, Kuniharu Sakurada, Maki Sugimoto
3D Reconstruction of a Soft Object Surface and Contact Areas in Hand-Object Interactions	In Hand-Object Interactions (HOIs), contact information between the hand and the object can be utilized to estimate the area of deformation area and to improve the relative position of the hand and the object. However, mapping contact information to unknown and deformable objects is still challenging due to their shape transformation. In this study, we present a preliminary attempt to reconstruct the surface of a soft object and identify the contact area on that surface in HOIs. By using our system composed of multiple RGB cameras and a single thermal camera, our proposed method successfully visualizes the areas on the object's surface.	https://dl.acm.org/doi/abs/10.1145/3681756.3697895	Kohei Miura, Daisuke Iwai, Kosuke Sato
3D Scene Reconstruction of Point Cloud Data: A Lightweight Procedural Approach	In this paper, we present an approach that takes point cloud data of a scene and automatically produces a lightweight 3D reconstruction of the buildings and their facade details found in the scene. Our 3D reconstructions are described using a procedural grammar to allow for light-weight storage and processing, as well as scalability. The preliminary evaluation of our approach considers the terrestrial laser scan dataset semantic3d.net that includes a wide range of outdoor scenes and feature considerably variety in terms of the density of the point clouds. Our results show that our approach is able to extract most of the buildings and correctly detect most of the facade openings.	https://dl.acm.org/doi/abs/10.1145/3681756.3697934	Vivica Wirth, Max Mühlhäuser, Alejandro Sanchez Guinea
3D Texture Representation in Projection Mapping onto a Surface with Micro-Vibration	In projection mapping, it is not possible to adequately represent fine, three-dimensional surface textures such as fur. To solve this problem, we propose a method to add minute high-speed vibrations in the depth direction to the projection target and to project images at high speed synchronized with the depth position of the projection target at each instant. In this paper, we report on the proposed method and its projection results.	https://dl.acm.org/doi/abs/10.1145/3681756.3697944	Hayase Nishi, Daisuke Iwai, Kosuke Sato
3D-to-2D Animation Smear Effect Technique Based on Japanese Hand-Drawn Animation Style	"Smear effects are a visualization of 2D motion blur. In Japanese animation, because each keyframe of fast-moving objects might remain on the screen for more than one frame, significant differences often appear between consecutive frames, resulting in a choppy effect. To eliminate this, smear effects play an important role. In Japanese hand-drawn animation, this technique creates jagged outlines at the edges of fast-moving objects. This not only eliminates the choppy effect but also emphasizes the intensity and speed of the object's movement. The proposed method is specifically designed to accommodate the common hand-drawn technique of ""Animating on Ones, Twos, and Threes"" [Ryan ], which often appears alongside the smear effect. Our method is based on skeletal animation techniques, combined with a hierarchical processing mechanism to displace model vertices. Unlike other methods that only displace vertices in a specific direction, our method includes a bending mechanism to represent curved motion trajectories. Additionally, our method allows users to freely choose which vertices in the model to apply the effects to. Finally, the deformed model is rendered from 3D to 2D, achieving this Japanese animation-style smear effect."	https://dl.acm.org/doi/abs/10.1145/3681756.3697891	Shu-Ting Lin, Ming-Te Chi
A Collaborative Multimodal XR Physical Design Environment	Traditional design processes for physical prototypes can be time-consuming and costly due to iterations of prototyping, testing, and refinement. Extended Reality (XR) technology with video passthrough offers unique benefits for alleviating these issues by providing instant visual feedback. We have developed an XR system with multimodal input capability that provides annotations and enables interactive visual modifications by superimposing and aligning visual counterparts to physical objects. This system can help designers to quickly experiment with and visualize a wide range of design options, keep track of design iterations, and explore innovative solutions without the constraints of physical prototyping. As a result, it can significantly speed up the iterative design process, while requiring fewer physical modifications in each iteration.	https://dl.acm.org/doi/abs/10.1145/3681759.3688914	Keru Wang, Pincun Liu, Yushen Hu, Xiaoan Liu, Zhu Wang, Ken Perlin
A Lava Well of Reflexivity: Exploring Speculative Ambient Media	This work explores the idea of speculative ambient media, which integrates reflexive and speculative elements into environmental objects. Unlike traditional ambient media that provides background information, speculative ambient media subtly promotes reflexivity on societal and environmental issues. Through the case, we illustrate how such media might inspire contemplation without being intrusive. The installation features slow-changing projections from plastic waste to implicate and raise environmental awareness and challenge perceptions of human impact on nature. Speculative ambient media enhances environmental consciousness and fosters dialogue. Future research will investigate its application in various contexts to further assess its potential for stimulating discussion and reflection.	https://dl.acm.org/doi/abs/10.1145/3681756.3697889	Ting Han Daniel Chen
A Multi-flash Stereo Camera for Photo-realistic Capture of Small Scenes	Synthesizing accurate geometry and photo-realistic appearance of small scenes is an active area of research with compelling use cases in gaming, content creation, virtual reality, and robotics. When applying scene geometry and appearance estimation techniques to robotics, we found that the narrow cone of possible viewpoints due to the limited range of robot motion and scene clutter caused current estimation techniques to produce poor quality estimates or even fail. On the other hand, in robotic applications, dense metric depth can often be measured directly using robot mounted stereo cameras and light and camera positions can be accurately controlled. Depth can provide a good initial estimate of the object geometry to improve reconstruction, while multi-illumination images can help recover appearance to facilitate relighting. In this work we demonstrate a robot-mountable multi-flash stereo camera system developed in-house to capture the necessary data for synthesizing relightable assets from small scenes with a few training views.	https://dl.acm.org/doi/abs/10.1145/3681758.3698018	Arkadeep Narayan Chaudhury, Igor Vasiljevic, Sergey Zakharov, Vitor Guizilini, Rares Ambrus, Srinivasa Narasimhan, Christopher G. Atkeson
A Multimodal LLM-based Assistant for User-Centric Interactive Machine Learning	This paper proposes a system based on a multimodal large language model (MLLM) to assist non-expert users without prior experience in machine learning (ML) development. The MLLM assistant in our system interactively helps users compile their requirements and create appropriate training data while building an ML model. It has been reported that users often struggle to define training data that comprehensively covers all samples or aligns with their needs. To prevent such failures, the MLLM assistant monitors the user's interaction process and translates users' vague needs into concrete ML formulations through chat, ultimately facilitating the creation of appropriate training data.	https://dl.acm.org/doi/abs/10.1145/3681756.3697880	Wataru Kawabe, Yusuke Sugano
