title	abstract	url	authors
-Functions Piecewise-linear Approximation from Noisy and Hermite Data	We introduce α-functions, providing piecewise linear approximation to given data as the difference of two convex functions. The parameter α controls the shape of a paraboloid that is probing the data and may be used to filter out noise in the data. The use of convex functions enables tools for efficient approximation to the data, adding robustness to outliers, and dealing with gradient information. It also allows using the approach in higher dimension. We show that α-functions can be efficiently computed and demonstrate their versatility at the example of surface reconstruction from noisy surface samples.	https://dl.acm.org/doi/abs/10.1145/3528233.3530743	Marc Alexa
3.5%	What might Europe look like if we continue to ignore the climate crisis? A glimpse.	https://dl.acm.org/doi/abs/10.1145/3512752.3517822	Lukas Bieri
A Clever Label: Multi-sensory VR data visualization for art, productivity and communication	"A Clever Label is an interactive immersive documentary pilot experience that introduces a novel data visualization mechanic (""Grapho"") for curating and presenting connected graph data as simply as a slide deck. Inside the XR experience the audience is guided by a presenter through volumetric video, voice-overs, haptics and subtitles to explore complex data."	https://dl.acm.org/doi/abs/10.1145/3532834.3536206	Michela Ledwidge
A Comparison of Zoom-In Transition Methods for Multiscale VR	When navigating within an unfamiliar virtual environment in VR, transitions between pre-defined viewpoints are known to facilitate spatial awareness of a user. Previously, different viewpoint transition techniques had been investigated, but mainly for single-scale environments. We present a comparative study of zoom-in transition techniques, where the viewpoint of a user is being smoothly transitioned from a large level of scale (LoS) to a smaller LoS in a multiscale virtual environment (MVE) with a nested structure. We identify that orbiting first before zooming in is preferred over other alternatives when transitioning to a viewpoint at a small LoS.	https://dl.acm.org/doi/abs/10.1145/3532719.3543237	Jong-In Lee, Paul Asente, Wolfgang Stuerzlinger
A Fast & Robust Solution for Cubic & Higher-Order Polynomials	We present a computationally-efficient and numerically-robust method for finding real roots of cubic and higher-order polynomials. It begins with determining the intervals where a given polynomial is monotonic. Then, the existence of a real root within each interval can be quickly identified. If one exists, we find the root using a stable variant of Newton iterations, providing fast and guaranteed convergence and satisfying the given error bound.	https://dl.acm.org/doi/abs/10.1145/3532836.3536266	Cem Yuksel
A Focused Animation Curriculum Model	"We offer this curriculum as a model for a focused animation program that does not require the infrastructure of an animation major, multiple instructors, or many courses. Students who have taken two courses are well-prepared for technical director positions. Many students report this experience as a college highlight. The success of the program is due to several key practices. Group critiques mimic ""dailies"" in industry and allow students to improve work in progress. Students are motivated to learn animation basics when they are applied to a final short film. We emphasize problem-solving over recipe-following so students become self-sufficient in learning new techniques. We provide a supportive and enthusiastic structure through in-class activities, TA support, and a well-attended final showcase. We discuss these principles along with course aims and lessons learned as we refined our approach."	https://dl.acm.org/doi/abs/10.1145/3532724.3535591	Barbara J. Meier
A GPU-based multilevel additive schwarz preconditioner for cloth and deformable body simulation	In this paper, we wish to push the limit of real-time cloth and deformable body simulation to a higher level with 50K to 500K vertices, based on the development of a novel GPU-based multilevel additive Schwarz (MAS) pre-conditioner. Similar to other preconditioners under the MAS framework, our preconditioner naturally adopts multilevel and domain decomposition concepts. But contrary to previous works, we advocate the use of small, non-overlapping domains that can well explore the parallel computing power on a GPU. Based on this idea, we investigate and invent a series of algorithms for our preconditioner, including multilevel domain construction using Morton codes, low-cost matrix precomputation by one-way Gauss-Jordan elimination, and conflict-free symmetric-matrix-vector multiplication in runtime preconditioning. The experiment shows that our preconditioner is effective, fast, cheap to precompute and scalable with respect to stiffness and problem size. It is compatible with many linear and nonlinear solvers used in cloth and deformable body simulation with dynamic contacts, such as PCG, accelerated gradient descent and L-BFGS. On a GPU, our preconditioner speeds up a PCG solver by approximately a factor of four, and its CPU version outperforms a number of competitors, including ILU0 and ILUT.	https://dl.acm.org/doi/abs/10.1145/3528223.3530085	Botao Wu, Zhendong Wang, Huamin Wang
A Game-Development Paradigm for Building Programming Intuition	A fundamental aspect of learning computer programming is the development of an intuition that can provide one with what needs to be done to solve a problem sans specific implementation detail. However, intuition cannot be taught using just lectures and/or readings. Students must be immersed in the process of programming, so relationships among the elements they learn become apparent. Often, short, discrete demonstration programs are used to introduce various programming schema. Given the disconnectedness of these short examples, they fail to help students gain a programming intuition. Using game development as the basis for an introductory programming class taps into students existing understanding of and intuition relating to image, sound, and games. It also demonstrates how various programming approaches can be used to the benefit of solving a large, meaningful problem, which, appropriately designed, provides ample space for the development of a student's programming intuition.	https://dl.acm.org/doi/abs/10.1145/3532724.3535601	William Joel
A Minimalist Social Robot Platform for Promoting Positive Behavior Change Among Children	We present the design of a minimalist interactive social robot named Haksh-E which integrates audio-visual perception with artificial intelligence to nurture positive behaviors in children. We co-designed the robot's embodiment with children acting as design informants. The robot features expressive interactions, real time conversation and human action detection capabilities. Haksh-E can assist children in learning new behaviors as a tutor, play a supportive role in health interventions and also pose as an objective assessor of various indicators of health and hygiene.	https://dl.acm.org/doi/abs/10.1145/3532724.3535597	Pranav Prabha, Sreejith Sasidharan, Devasena Pasupuleti, Anand Das, Gayathri Manikutty, Rajesh Sharma
A Motion Matching-based Framework for Controllable Gesture Synthesis from Speech	Recent deep learning-based approaches have shown promising results for synthesizing plausible 3D human gestures from speech input. However, these approaches typically offer limited freedom to incorporate user control. Furthermore, training such models in a supervised manner often does not capture the multi-modal nature of the data, particularly because the same audio input can produce different gesture outputs. To address these problems, we present an approach for generating controllable 3D gestures that combines the advantage of database matching and deep generative modeling. Our method predicts 3D body motion by sequentially searching for the most plausible audio-gesture clips from a database using a k-Nearest Neighbors (k-NN) algorithm that considers the similarity to both the input audio and the previous body pose information. To further improve the synthesis quality, we propose a conditional Generative Adversarial Network (cGAN) model to provide a data-driven refinement to the k-NN result by comparing its plausibility against the ground truth audio-gesture pairs. Our novel approach enables direct and more varied control manipulation that is not possible with prior learning-based counterparts. Our experiments show that our proposed approach outperforms recent models on control-based synthesis tasks using high-level signals such as motion statistics while enabling flexible and effective user control for lower-level signals. 1	https://dl.acm.org/doi/abs/10.1145/3528233.3530750	Ikhsanul Habibie, Mohamed Elgharib, Kripasindhu Sarkar, Ahsan Abdullah, Simbarashe Nyatsanga, Michael Neff, Christian Theobalt
A Showcase of Decima Engine in Horizon Forbidden West	Horizon Forbidden West's graphics are the product of many separate features working together to deliver the acclaimed visuals. Each has to run within strict performance and memory budgets to deliver a reliable framerate. In this presentation we'll break down some of those features, and the goals and challenges for each. The audience will get a behind the scenes look at some of the real-time systems that drive the rich dynamism of the world of Horizon.	https://dl.acm.org/doi/abs/10.1145/3532833.3538681	Hugh Malan, Maarten van der Gaag
A Theoretical Analysis of Compactness of the Light Transport Operator	Rendering photorealistic visuals of virtual scenes requires tractable models for the simulation of light. The rendering equation describes one such model using an integral equation, the crux of which is a continuous integral operator. A majority of rendering algorithms aim to approximate the effect of this light transport operator via discretization (using rays, particles, patches, etc.). Research spanning four decades has uncovered interesting properties and intuition surrounding this operator. In this paper we analyze compactness, a key property that is independent of its discretization and which characterizes the ability to approximate the operator uniformly by a sequence of finite rank operators. We conclusively prove lingering suspicions that this operator is not compact and therefore that any discretization that relies on a finite-rank or nonadaptive finite-bases is susceptible to unbounded error over arbitrary light distributions. Our result justifies the expectation for rendering algorithms to be evaluated using a variety of scenes and illumination conditions. We also discover that its lower dimensional counterpart (over purely diffuse scenes) is not compact except in special cases, and uncover connections with it being noninvertible and acting as a low-pass filter. We explain the relevance of our results in the context of previous work. We believe that our theoretical results will inform future rendering algorithms regarding practical choices.	https://dl.acm.org/doi/abs/10.1145/3528233.3530725	Cyril Soler, Ronak Molazem, Kartic Subr
A clebsch method for free-surface vortical flow simulation	We propose a novel Clebsch method to simulate the free-surface vortical flow. At the center of our approach lies a level-set method enhanced by a wave-function correction scheme and a wave-function extrapolation algorithm to tackle the Clebsch method's numerical instabilities near a dynamic interface. By combining the Clebsch wave function's expressiveness in representing vortical structures and the level-set function's ability on tracking interfacial dynamics, we can model complex vortex-interface interaction problems that exhibit rich free-surface flow details on a Cartesian grid. We showcase the efficacy of our approach by simulating a wide range of new free-surface flow phenomena that were impractical for previous methods, including horseshoe vortex, sink vortex, bubble rings, and free-surface wake vortices.	https://dl.acm.org/doi/abs/10.1145/3528223.3530150	Shiying Xiong, Zhecheng Wang, Mengdi Wang, Bo Zhu
A fast unsmoothed aggregation algebraic multigrid framework for the large-scale simulation of incompressible flow	Multigrid methods are quite efficient for solving the pressure Poisson equation in simulations of incompressible flow. However, for viscous liquids, geometric multigrid turned out to be less efficient for solving the variational viscosity equation. In this contribution, we present an Unsmoothed Aggregation Algebraic MultiGrid (UAAMG) method with a multi-color Gauss-Seidel smoother, which consistently solves the variational viscosity equation in a few iterations for various material parameters. Moreover, we augment the OpenVDB data structure with Intel SIMD intrinsic functions to perform sparse matrix-vector multiplications efficiently on all multigrid levels. Our framework is 2.0 to 14.6 times faster compared to the state-of-the-art adaptive octree solver in commercial software for the large-scale simulation of both non-viscous and viscous flow. The code is available at http://computationalsciences.org/publications/shao-2022-multigrid.html.	https://dl.acm.org/doi/abs/10.1145/3528223.3530109	Han Shao, Libo Huang, Dominik L. Michels
