title	abstract	url	authors
$E(2)$-Equivariant Vision Transformer	Vision Transformer (ViT) has achieved remarkable performance in computer vision. However, positional encoding in ViT makes it substantially difficult to learn the intrinsic equivariance in data. Ini- tial attempts have been made on designing equiv- ariant ViT but are proved defective in some cases in this paper. To address this issue, we design a Group Equivariant Vision Transformer (GE-ViT) via a novel, effective positional encoding opera- tor. We prove that GE-ViT meets all the theoreti- cal requirements of an equivariant neural network. Comprehensive experiments are conducted on standard benchmark datasets, demonstrating that GE-ViT significantly outperforms non-equivariant self-attention networks. The code is available at https://github.com/ZJUCDSYangKaifan/GEVit.	http://proceedings.mlr.press/v216/xu23b.html	Renjun Xu, Kaifan Yang, Ke Liu, Fengxiang He
A Bayesian approach for bandit online optimization with switching cost	As a classical problem, online optimization with switching cost has been studied for a long time due to its wide applications in various areas. However, few works have investigated the bandit setting where both the forms of the main cost function $f(x)$ evaluated at state $x$ and the switching cost function $c(x, y)$ of transitioning from state $x$ to $y$ are unknown. In this paper, we consider the situation when $\left(f(x_t)+\varepsilon_t,\,{c}(x_t, x_{t-1})\right)$ can be observed with noise $\varepsilon_t$ after making a decision $x_t$ at time $t$, aiming to minimize the expected total cost within a time horizon. To solve this problem, we propose two algorithms from a Bayesian approach, named Greedy Search and Alternating Search, respectively. They have different theoretical guarantees of competitive ratios under mild regularity conditions, and the latter algorithm achieves a faster running speed. Using simulations of two classical black-box optimization problems, we demonstrate the superior performance of our algorithms compared with the classical method.	http://proceedings.mlr.press/v216/shi23b.html	Zai Shi, Jian Tan, Feifei Li
A Data-Driven State Aggregation Approach for Dynamic Discrete Choice Models	"In dynamic discrete choice models, a commonly studied problem is estimating parameters of agent reward functions (also known as 'structural' parameters) using agent behavioral data. This task is also known as inverse reinforcement learning. Maximum likelihood estimation for such models requires dynamic programming, which is limited by the curse of dimensionality [Bellman, 1957]. In this work, we present a novel algorithm that provides a data-driven method for selecting and aggregating states, which lowers the computational and sample complexity of estimation. Our method works in two stages. First, we estimate agent Qfunctions, and leverage them alongside a clustering algorithm to select a subset of states that are most pivotal for driving changes in Q-functions. Second, with these selected ""aggregated"" states, we conduct maximum likelihood estimation using a popular nested fixed-point algorithm [Rust, 1987]. The proposed two-stage approach mitigates the curse of dimensionality by reducing the problem dimension. Theoretically, we derive finite-sample bounds on the associated estimation error, which also characterize the trade-off of computational complexity, estimation error, and sample complexity. We demonstrate the empirical performance of the algorithm in two classic dynamic discrete choice estimation applications."	http://proceedings.mlr.press/v216/geng23a.html	Sinong Geng, Houssam Nassif, Carlos A. Manzanares
A Probabilistic Approach to Fairness under Label Bias	Machine learning systems are widely used in our daily lives, making fairness an important concern when designing and deploying these systems. Moreover, the data that we use to train or audit them often contain biased labels. In this paper, we show that not only does label bias in training data affect model performance, but it also misrepresents fairness of classifiers at test time. To tackle this problem, we propose a framework to audit and learn fair classifiers by using a probabilistic model to infer the hidden fair labels and estimating the expected fairness under this distribution. In particular, we provide (i) a ``data clean-up'' method which replaces biased labels with the fair ones---which can be used as pre-processing at train time or for better auditing at test time---and (ii) a reweighting method that directly estimates statistical fairness notions with respect to the inferred fair labels. Experimental results demonstrate the effectiveness of our proposed approach on synthetic data, with controlled ground truth labels and their biased versions, as well as on real-world benchmark datasets.	https://openreview.net/forum?id=a1NfxQP0pY	Saurav Anchlia, YooJung Choi
A constrained Bayesian approach to out-of-distribution prediction	Consider the problem of out-of-distribution prediction given data from multiple environments. While a sufficiently diverse collection of training environments will facilitate the identification of an invariant predictor, with an optimal generalization performance, many applications only provide us with a limited number of environments. It is thus necessary to consider adapting to distribution shift using a handful of labeled test samples. We propose a constrained Bayesian approach for this task, which restricts to models with a worst-group training loss above a prespecified threshold. Our method avoids a pathology of the standard Bayesian posterior, which occurs when spurious correlations improve in-distribution prediction. We also show that on certain high-dimensional linear problems, constrained modeling improves the sample efficiency of adaptation. Synthetic and real-world experiments demonstrate the robust performance of our approach.	http://proceedings.mlr.press/v216/wang23f.html	Ziyu Wang, Binjie Yuan, Jiaxun Lu, Bowen Ding, Yunfeng Shao, Qibin Wu, Jun Zhu
A decoder suffices for query-adaptive variational inference	Deep generative models like variational autoencoders (VAEs) are widely used for density estimation and dimensionality reduction, but infer latent representations via amortized inference algorithms, which require that all data dimensions are observed. VAEs thus lack a key strength of probabilistic graphical models: the ability to infer posteriors for test queries with arbitrary structure. We demonstrate that many prior methods for imputation with VAEs are costly and ineffective, and achieve superior performance via query-adaptive variational inference (QAVI) algorithms based directly on the generative decoder. By analytically marginalizing arbitrary sets of missing features, and optimizing expressive posteriors including mixtures and density flows, our non-amortized QAVI algorithms achieve excellent performance while avoiding expensive model retraining. On standard image and tabular datasets, our approach substantially outperforms prior methods in the plausibility and diversity of imputations. We also show that QAVI effectively generalizes to recent hierarchical VAE models for high-dimensional images.	http://proceedings.mlr.press/v216/agarwal23a.html	Sakshi Agarwal, Gabriel Hope, Ali Younis, Erik B. Sudderth
A near-optimal high-probability swap-Regret upper bound for multi-agent bandits in unknown general-sum games	In this paper, we study a multi-agent bandit problem in an unknown general-sum game repeated for a number of rounds (i.e., learning in a black-box game with bandit feedback), where a set of agents have no information about the underlying game structure and cannot observe each other's actions and rewards. In each round, each agent needs to play an arm (i.e., action) from a (possibly different) arm set (i.e., action set), and only receives the reward of the played arm that is affected by other agents' actions. The objective of each agent is to minimize her own cumulative swap regret, where the swap regret is a generic performance measure for online learning algorithms. We are the first to give a near-optimal high-probability swap-regret upper bound based on a refined martingale analysis for the exponential-weighting-based algorithms with the implicit exploration technique, which can further bound the expected swap regret instead of the pseudo-regret studied in the literature. It is also guaranteed that correlated equilibria can be achieved in a polynomial number of rounds if the algorithm is played by all agents. Furthermore, we conduct numerical experiments to verify the performance of the studied algorithm.	http://proceedings.mlr.press/v216/huang23b.html	Zhiming Huang, Jianping Pan
A one-sample decentralized proximal algorithm for non-convex stochastic composite optimization	We focus on decentralized stochastic non-convex optimization, where $n$ agents work together to optimize a composite objective function which is a sum of a smooth term and a non-smooth convex term. To solve this problem, we propose two single-time scale algorithms: \texttt{Prox-DASA} and \texttt{Prox-DASA-GT}. These algorithms can find $\epsilon$-stationary points in $\mathcal{O}(n^{-1}\epsilon^{-2})$ iterations using constant batch sizes (i.e., $\mathcal{O}(1)$). Unlike prior work, our algorithms achieve comparable complexity without requiring large batch sizes, more complex per-iteration operations (such as double loops), or stronger assumptions. Our theoretical findings are supported by extensive numerical experiments, which demonstrate the superiority of our algorithms over previous approaches. Our code is available at \url{https://github.com/xuxingc/ProxDASA}.	http://proceedings.mlr.press/v216/xiao23a.html	Tesi Xiao, Xuxing Chen, Krishnakumar Balasubramanian, Saeed Ghadimi
A policy gradient approach for optimization of smooth risk measures	We propose policy gradient algorithms for solving a risk-sensitive reinforcement learning (RL) problem in on-policy as well as off-policy settings. We consider episodic Markov decision processes, and model the risk using the broad class of smooth risk measures of the cumulative discounted reward. We propose two template policy gradient algorithms that optimize a smooth risk measure in on-policy and off-policy RL settings, respectively. We derive non-asymptotic bounds that quantify the rate of convergence of our proposed algorithms to a stationary point of the smooth risk measure. As special cases, we establish that our algorithms apply to optimization of mean-variance and distortion risk measures, respectively.	http://proceedings.mlr.press/v216/vijayan23a.html	Nithia Vijayan, L. A. Prashanth
A scalable Walsh-Hadamard regularizer to overcome the low-degree spectral bias of neural networks	"Despite the capacity of neural nets to learn arbitrary functions, models trained through gradient descent often exhibit a bias towards ""simpler"" functions. Various notions of simplicity have been introduced to characterize this behavior. Here, we focus on the case of neural networks with discrete (zero-one) inputs through the lens of their Fourier (Walsh-Hadamard) transforms, where the notion of simplicity can be captured through the degree of the Fourier coefficients. We empirically show that neural networks have a tendency to learn lower-degree frequencies. We show how this spectral bias towards simpler features can in fact hurt the neural network's generalization on real-world datasets. To remedy this we propose a new scalable functional regularization scheme that aids the neural network to learn higher degree frequencies. Our regularizer also helps avoid erroneous identification of low-degree frequencies, which further improves generalization. We extensively evaluate our regularizer on synthetic datasets to gain insights into its behavior. Finally, we show significantly improved generalization on four different datasets compared to standard neural networks and other relevant baselines."	http://proceedings.mlr.press/v216/gorji23a.html	Ali Gorji, Andisheh Amrollahi, Andreas Krause
